#PeakID(python identify_motif.py ./ENCODE_processed_files/NFATC3_idr.fa NFATC3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
28_10	chr16	46390492	46390892	+	1000	790.5	[]	[]	[7.657809, 7.657809, 7.657809, 7.657809, 7.657809]	[72, 82, 95, 121, 144]	[]	[46390664, 46390674, 46390687, 46390713, 46390736]
28_10005	chr18	23529636	23530036	+	1000	37.5	[]	[]	[7.657809]	[156]	[]	[23529856]
28_1001	chr22	21626690	21627090	+	1000	72.5	[7.657809]	[170]	[7.408826]	[202]	[21626871]	[21626903]
28_10017	chr19	38900221	38900621	+	1000	37.5	[]	[]	[7.657809]	[148]	[]	[38900446]
28_10039	chr2	156334804	156335204	+	1000	37.5	[]	[]	[7.408826]	[120]	[]	[156334958]
28_10040	chr2	169109773	169110173	+	1000	37.5	[]	[]	[10.276439]	[154]	[]	[169110019]
28_10050	chr20	53162273	53162673	+	1000	37.5	[7.408826]	[120]	[]	[]	[53162449]	[]
28_10052	chr21	14675996	14676396	+	1000	37.5	[]	[]	[7.657809]	[187]	[]	[14676191]
28_10087	chr3	146554310	146554710	+	1000	37.5	[]	[]	[10.276439]	[160]	[]	[146554499]
28_10089	chr3	156826711	156827111	+	1000	37.5	[]	[]	[10.276439]	[201]	[]	[156826924]
28_1009	chr8	123922144	123922544	+	1000	72.5	[9.601446]	[162]	[7.408826, 7.408826, 7.408826]	[181, 188, 212]	[123922343]	[123922362, 123922369, 123922393]
28_10091	chr3	158679528	158679928	+	841	37.5	[]	[]	[7.408826]	[205]	[]	[158679736]
28_10106	chr4	75573520	75573920	+	1000	37.5	[]	[]	[10.276439]	[104]	[]	[75573685]
28_10107	chr4	87007726	87008126	+	1000	37.5	[7.657809]	[114]	[]	[]	[87007902]	[]
28_10110	chr4	139300769	139301169	+	1000	37.5	[10.276439, 10.276439]	[108, 190]	[]	[]	[139300927, 139301009]	[]
28_10117	chr5	34930545	34930945	+	1000	37.5	[]	[]	[10.276439]	[161]	[]	[34930781]
28_10118	chr5	36875938	36876338	+	1000	37.5	[10.276439, 7.657809]	[123, 155]	[]	[]	[36876093, 36876125]	[]
28_1012	chr1	180611381	180611781	+	1000	72.0	[]	[]	[10.276439]	[165]	[]	[180611610]
28_10123	chr5	133051586	133051986	+	1000	37.5	[7.0441737, 10.276439]	[157, 190]	[]	[]	[133051797, 133051830]	[]
28_10127	chr5	139475318	139475718	+	1000	37.5	[]	[]	[7.408826]	[97]	[]	[139475505]
28_10131	chr5	151771141	151771541	+	1000	37.5	[]	[]	[9.601446]	[92]	[]	[151771319]
28_10135	chr5	169746203	169746603	+	1000	37.5	[]	[]	[7.408826]	[177]	[]	[169746433]
28_10143	chr6	13354536	13354936	+	1000	37.5	[7.408826]	[101]	[]	[]	[13354731]	[]
28_10144	chr6	16157856	16158256	+	1000	37.5	[10.276439]	[172]	[]	[]	[16158094]	[]
28_1016	chr10	73743930	73744330	+	1000	72.0	[]	[]	[7.0441737]	[210]	[]	[73744177]
28_10162	chr6	136737469	136737869	+	1000	37.5	[]	[]	[7.657809]	[96]	[]	[136737638]
28_1017	chr10	74854081	74854481	+	1000	72.0	[]	[]	[10.276439]	[103]	[]	[74854279]
28_10171	chr7	12403258	12403658	+	997	37.5	[]	[]	[10.276439]	[121]	[]	[12403476]
28_10172	chr7	12727101	12727501	+	1000	37.5	[]	[]	[7.0441737]	[114]	[]	[12727297]
28_10174	chr7	13982838	13983238	+	1000	37.5	[]	[]	[7.408826]	[140]	[]	[13983034]
28_10176	chr7	16668028	16668428	+	1000	37.5	[]	[]	[7.0441737]	[148]	[]	[16668198]
28_10178	chr7	25028519	25028919	+	1000	37.5	[7.657809, 10.276439]	[90, 178]	[]	[]	[25028674, 25028762]	[]
28_1018	chr11	6618035	6618435	+	1000	72.0	[7.408826]	[56]	[]	[]	[6618191]	[]
28_10187	chr7	116971797	116972197	+	1000	37.5	[10.276439]	[75]	[7.657809, 9.601446]	[105, 173]	[116971949]	[116971979, 116972047]
28_1019	chr11	76700471	76700871	+	1000	72.0	[]	[]	[7.408826]	[155]	[]	[76700680]
28_10197	chr7	135414882	135415282	+	1000	37.5	[7.408826]	[189]	[7.0441737]	[196]	[135415105]	[135415112]
28_10215	chr8	94822735	94823135	+	1000	37.5	[]	[]	[7.408826]	[122]	[]	[94822945]
28_10234	chr9	130873292	130873692	+	1000	37.5	[7.408826]	[138]	[]	[]	[130873515]	[]
28_1024	chr22	19144649	19145049	+	1000	72.0	[]	[]	[10.276439]	[67]	[]	[19144808]
28_10241	chr1	6554554	6554954	+	790	37.0	[]	[]	[9.601446]	[180]	[]	[6554763]
28_10242	chr1	8867845	8868245	+	1000	37.0	[7.0441737]	[119]	[]	[]	[8867999]	[]
28_10246	chr1	15328849	15329249	+	981	37.0	[]	[]	[10.276439]	[129]	[]	[15329038]
28_10247	chr1	15851192	15851592	+	1000	37.0	[7.408826]	[157]	[]	[]	[15851421]	[]
28_1025	chr22	19179212	19179612	+	1000	72.0	[]	[]	[7.408826]	[155]	[]	[19179424]
28_10257	chr1	40041039	40041439	+	1000	37.0	[]	[]	[7.408826]	[125]	[]	[40041192]
28_10258	chr1	46477471	46477871	+	1000	37.0	[]	[]	[7.657809, 7.0441737]	[181, 221]	[]	[46477656, 46477696]
28_10263	chr1	55474258	55474658	+	1000	37.0	[]	[]	[10.276439]	[165]	[]	[55474502]
28_10266	chr1	75423492	75423892	+	1000	37.0	[]	[]	[10.276439]	[96]	[]	[75423659]
28_10269	chr1	100894590	100894990	+	1000	37.0	[]	[]	[10.276439]	[185]	[]	[100894788]
28_10276	chr1	151459546	151459946	+	1000	37.0	[10.276439, 10.276439]	[114, 145]	[]	[]	[151459747, 151459778]	[]
28_10280	chr1	155910725	155911125	+	1000	37.0	[10.276439]	[58]	[]	[]	[155910879]	[]
28_10281	chr1	160428605	160429005	+	1000	37.0	[]	[]	[7.408826]	[167]	[]	[160428841]
28_10291	chr1	202810396	202810796	+	1000	37.0	[9.601446]	[113]	[]	[]	[202810587]	[]
28_10295	chr1	207648525	207648925	+	1000	37.0	[7.408826, 7.408826]	[166, 221]	[]	[]	[207648700, 207648755]	[]
28_10302	chr1	244654358	244654758	+	923	37.0	[]	[]	[7.0441737]	[189]	[]	[244654604]
28_10308	chr10	22339935	22340335	+	1000	37.0	[]	[]	[7.408826]	[153]	[]	[22340174]
28_10314	chr10	45594826	45595226	+	1000	37.0	[]	[]	[7.0441737]	[220]	[]	[45595068]
28_10316	chr10	50330648	50331048	+	1000	37.0	[7.657809]	[144]	[]	[]	[50330831]	[]
28_10335	chr11	65225481	65225881	+	1000	37.0	[9.601446, 7.657809]	[139, 173]	[10.276439]	[207]	[65225650, 65225684]	[65225718]
28_10337	chr11	65663137	65663537	+	1000	37.0	[7.408826]	[176]	[]	[]	[65663349]	[]
28_10341	chr11	73779820	73780220	+	1000	37.0	[]	[]	[10.276439]	[61]	[]	[73779979]
28_10347	chr11	102317058	102317458	+	1000	37.0	[]	[]	[10.276439]	[186]	[]	[102317284]
28_10349	chr11	114438916	114439316	+	1000	37.0	[]	[]	[7.657809, 7.408826]	[112, 159]	[]	[114439079, 114439126]
28_10355	chr12	46268598	46268998	+	1000	37.0	[9.601446]	[95]	[]	[]	[46268788]	[]
28_1036	chr10	3852496	3852896	+	1000	71.5	[7.408826]	[118]	[]	[]	[3852702]	[]
28_10371	chr13	28408475	28408875	+	1000	37.0	[]	[]	[7.408826]	[96]	[]	[28408657]
28_10373	chr13	41463865	41464265	+	703	37.0	[]	[]	[10.276439]	[146]	[]	[41464068]
28_10379	chr14	87993191	87993591	+	1000	37.0	[7.657809]	[165]	[]	[]	[87993438]	[]
28_1038	chr12	124910841	124911241	+	1000	71.5	[10.276439]	[96]	[]	[]	[124910997]	[]
28_10383	chr15	49620837	49621237	+	904	37.0	[]	[]	[9.601446]	[124]	[]	[49621016]
28_10387	chr15	63198827	63199227	+	1000	37.0	[]	[]	[10.276439]	[152]	[]	[63199058]
28_1040	chr17	42699022	42699422	+	1000	71.5	[7.0441737]	[111]	[]	[]	[42699209]	[]
28_10401	chr16	67226933	67227333	+	881	37.0	[9.601446]	[141]	[]	[]	[67227094]	[]
28_10405	chr16	84116118	84116518	+	956	37.0	[10.276439]	[113]	[]	[]	[84116328]	[]
28_10406	chr16	84730015	84730415	+	1000	37.0	[10.276439]	[132]	[]	[]	[84730192]	[]
28_10411	chr17	7579080	7579480	+	1000	37.0	[]	[]	[10.276439]	[183]	[]	[7579294]
28_10416	chr17	40123441	40123841	+	736	37.0	[]	[]	[10.276439]	[186]	[]	[40123664]
28_10419	chr17	64390274	64390674	+	1000	37.0	[]	[]	[10.276439]	[147]	[]	[64390471]
