#PeakID(python identify_motif.py ./ENCODE_processed_files/CREB1_idr.fa CREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
789_100	chr2	19348226	19348626	+	1000	639.0	[12.391855]	[130]	[12.391855]	[130]	[19348448]	[19348448]
789_10000	chr3	53254813	53255213	+	1000	64.0	[7.0666766]	[86]	[6.9910398]	[86]	[53254980]	[53254980]
789_10021	chr5	7306594	7306994	+	1000	64.0	[14.340561]	[109]	[6.939924, 7.304901]	[93, 109]	[7306794]	[7306778, 7306794]
789_1005	chr8	2127562	2127962	+	1000	304.0	[7.302018]	[131]	[7.6658115]	[131]	[2127786]	[2127786]
789_10069	chr7	129423720	129424120	+	1000	64.0	[14.340561]	[114]	[7.304901]	[114]	[129423925]	[129423925]
789_10084	chr8	127794317	127794717	+	1000	64.0	[12.391855]	[101]	[12.391855]	[101]	[127794500]	[127794500]
789_10098	chr1	1324374	1324774	+	1000	63.0	[9.535811]	[217]	[]	[]	[1324596]	[]
789_10103	chr1	16248773	16249173	+	1000	63.0	[10.268989]	[93]	[]	[]	[16248942]	[]
789_10112	chr1	61253358	61253758	+	1000	63.0	[]	[]	[6.6679616]	[107]	[]	[61253565]
789_10116	chr1	116420341	116420741	+	1000	63.0	[9.472043]	[96]	[]	[]	[116420537]	[]
789_10120	chr1	150619682	150620082	+	1000	63.0	[9.472043]	[184]	[]	[]	[150619915]	[]
789_1013	chr14	88385435	88385835	+	1000	302.0	[12.391855]	[104]	[12.391855]	[104]	[88385637]	[88385637]
789_10131	chr10	13674671	13675071	+	1000	63.0	[7.304901, 7.304901, 7.304901]	[57, 76, 94]	[14.340561, 14.340561, 14.340561]	[57, 76, 94]	[13674823, 13674842, 13674860]	[13674823, 13674842, 13674860]
789_10137	chr11	10455772	10456172	+	1000	63.0	[6.726624]	[58]	[]	[]	[10455929]	[]
789_1016	chr7	140696449	140696849	+	1000	302.0	[12.391855]	[111]	[12.391855]	[111]	[140696655]	[140696655]
789_1017	chr1	6579798	6580198	+	1000	301.0	[12.391855]	[103]	[12.391855]	[103]	[6580000]	[6580000]
789_10171	chr15	89367415	89367815	+	1000	63.0	[12.391855]	[124]	[12.391855]	[124]	[89367626]	[89367626]
789_10188	chr16	80027190	80027590	+	1000	63.0	[7.8243337]	[114]	[9.472043, 7.778084]	[87, 114]	[80027399]	[80027372, 80027399]
789_1020	chr1	154183062	154183462	+	1000	300.0	[6.9910398]	[90]	[7.0666766]	[90]	[154183246]	[154183246]
789_10200	chr18	60053773	60054173	+	1000	63.0	[]	[]	[8.492485]	[51]	[]	[60053924]
789_1021	chr1	173867820	173868220	+	1000	300.0	[12.391855]	[112]	[12.391855]	[112]	[173868032]	[173868032]
789_10213	chr19	49930489	49930889	+	1000	63.0	[]	[]	[6.730626]	[134]	[]	[49930700]
789_10219	chr2	135052386	135052786	+	1000	63.0	[7.302018]	[89]	[6.599558, 7.6658115]	[68, 89]	[135052570]	[135052549, 135052570]
789_1022	chr12	42325944	42326344	+	1000	300.0	[7.5305133]	[97]	[7.611034]	[97]	[42326138]	[42326138]
789_10220	chr2	144359100	144359500	+	1000	63.0	[7.2336946]	[136]	[8.939746]	[115]	[144359305]	[144359284]
789_10222	chr2	178242260	178242660	+	1000	63.0	[12.391855]	[116]	[12.391855]	[116]	[178242460]	[178242460]
789_10236	chr21	33491607	33492007	+	1000	63.0	[10.268989]	[147]	[]	[]	[33491843]	[]
789_1024	chr15	74695847	74696247	+	1000	300.0	[11.325602]	[100]	[7.587105]	[100]	[74696043]	[74696043]
789_1025	chr16	34586624	34587024	+	1000	300.0	[]	[]	[9.501078]	[87]	[]	[34586811]
789_10256	chr3	124653731	124654131	+	1000	63.0	[14.340561, 6.6892962]	[79, 144]	[7.304901]	[79]	[124653889, 124653954]	[124653889]
789_1026	chr17	68955224	68955624	+	1000	300.0	[9.535811, 7.8243337]	[74, 110]	[7.778084]	[110]	[68955392, 68955428]	[68955428]
789_10260	chr3	168094729	168095129	+	1000	63.0	[6.9910398]	[148]	[6.6892962, 7.0666766]	[98, 148]	[168094975]	[168094925, 168094975]
789_10264	chr4	6641640	6642040	+	1000	63.0	[7.587105]	[141]	[11.325602]	[141]	[6641877]	[6641877]
789_10267	chr4	73222891	73223291	+	1000	63.0	[]	[]	[6.6389275]	[111]	[]	[73223096]
789_1027	chr2	127700564	127700964	+	1000	300.0	[9.726789]	[63]	[9.614517]	[117]	[127700725]	[127700779]
789_10277	chr5	88675768	88676168	+	1000	63.0	[12.391855]	[105]	[12.391855]	[105]	[88675973]	[88675973]
789_1029	chrX	119565209	119565609	+	1000	300.0	[12.391855]	[102]	[12.391855]	[102]	[119565409]	[119565409]
789_1030	chr10	18651434	18651834	+	1000	299.0	[8.105255]	[103]	[8.320283]	[103]	[18651637]	[18651637]
789_10312	chr8	22918233	22918633	+	1000	63.0	[9.093543]	[132]	[]	[]	[22918446]	[]
789_10313	chr8	38153898	38154298	+	1000	63.0	[14.340561]	[108]	[7.304901]	[108]	[38154093]	[38154093]
789_10314	chr8	73459508	73459908	+	1000	63.0	[9.472043, 9.745586]	[109, 129]	[11.507445]	[112]	[73459710, 73459730]	[73459713]
789_1032	chr4	20700202	20700602	+	1000	299.0	[12.391855]	[106]	[12.391855]	[106]	[20700406]	[20700406]
789_10325	chr9	131635339	131635739	+	1000	63.0	[]	[]	[9.745586]	[113]	[]	[131635517]
789_10329	chr1	6517543	6517943	+	1000	62.0	[9.55874]	[124]	[7.7968802]	[124]	[6517755]	[6517755]
789_10334	chr1	24536526	24536926	+	1000	62.0	[7.3216233]	[105]	[7.573706]	[105]	[24536717]	[24536717]
789_10343	chr1	46477404	46477804	+	1000	62.0	[7.3216233]	[126]	[7.573706]	[126]	[46477619]	[46477619]
789_1036	chr14	67619561	67619961	+	1000	298.0	[12.391855]	[96]	[12.391855]	[96]	[67619748]	[67619748]
789_10361	chr10	30357074	30357474	+	1000	62.0	[6.893674, 7.304901]	[86, 140]	[14.340561]	[140]	[30357252, 30357306]	[30357306]
789_10367	chr11	3841290	3841690	+	1000	62.0	[7.6658115]	[114]	[7.302018]	[114]	[3841458]	[3841458]
789_1037	chr4	38667242	38667642	+	1000	298.0	[10.053962]	[118]	[7.2208457]	[121]	[38667456]	[38667459]
789_10379	chr11	65455000	65455400	+	1000	62.0	[7.587105]	[170]	[11.325602, 8.492485]	[170, 186]	[65455235]	[65455235, 65455251]
789_1038	chr9	37465263	37465663	+	1000	298.0	[8.320283]	[91]	[8.105255]	[91]	[37465447]	[37465447]
789_1039	chr19	55117525	55117925	+	1000	297.0	[12.391855]	[72]	[12.391855]	[72]	[55117689]	[55117689]
789_10393	chr15	36951923	36952323	+	1000	62.0	[7.302018]	[159]	[7.6658115]	[159]	[36952170]	[36952170]
789_10397	chr15	64835734	64836134	+	1000	62.0	[11.325602]	[112]	[7.587105]	[112]	[64835943]	[64835943]
789_104	chr6	41920969	41921369	+	1000	637.0	[7.304901]	[149]	[14.340561]	[149]	[41921216]	[41921216]
789_1041	chrX	15335467	15335867	+	1000	297.0	[11.325602, 7.5305133]	[77, 131]	[7.587105, 7.611034]	[77, 131]	[15335638, 15335692]	[15335638, 15335692]
789_10410	chr16	90081937	90082337	+	1000	62.0	[8.492485]	[146]	[]	[]	[90082176]	[]
789_10414	chr17	32111401	32111801	+	1000	62.0	[]	[]	[11.507445]	[71]	[]	[32111566]
789_10418	chr18	2894304	2894704	+	1000	62.0	[6.7814016]	[110]	[]	[]	[2894497]	[]
789_10432	chr19	39996282	39996682	+	1000	62.0	[8.105255]	[114]	[8.320283]	[114]	[39996496]	[39996496]
789_10447	chr2	46179072	46179472	+	1000	62.0	[7.2336946, 12.391855]	[59, 106]	[12.391855]	[106]	[46179224, 46179271]	[46179271]
789_1045	chr17	34961306	34961706	+	1000	296.0	[7.611034]	[104]	[7.5305133]	[104]	[34961509]	[34961509]
789_10459	chr20	760957	761357	+	1000	62.0	[8.320283]	[141]	[8.105255]	[141]	[761196]	[761196]
789_10461	chr20	23147824	23148224	+	1000	62.0	[9.479219]	[109]	[]	[]	[23148016]	[]
789_10466	chr22	21448007	21448407	+	1000	62.0	[6.6389275]	[66]	[]	[]	[21448166]	[]
789_1047	chr15	75726179	75726579	+	1000	295.0	[10.066811, 7.2208457, 7.611034, 11.507445]	[61, 72, 97, 105]	[7.5523715, 6.7814016, 7.5305133]	[61, 87, 97]	[75726339, 75726350, 75726375, 75726383]	[75726339, 75726365, 75726375]
789_10479	chr3	25433899	25434299	+	1000	62.0	[12.391855]	[91]	[12.391855]	[91]	[25434088]	[25434088]
789_10487	chr3	170181502	170181902	+	1000	62.0	[]	[]	[9.093543]	[138]	[]	[170181674]
789_10489	chr3	181720236	181720636	+	948	62.0	[12.391855]	[136]	[12.391855]	[136]	[181720470]	[181720470]
789_105	chr3	38164839	38165239	+	1000	635.0	[12.391855]	[102]	[12.391855]	[102]	[38165039]	[38165039]
789_1051	chr7	92134599	92134999	+	1000	295.0	[6.7118297]	[131]	[]	[]	[92134822]	[]
789_1052	chr7	100429072	100429472	+	1000	295.0	[6.9573374]	[104]	[7.144837]	[104]	[100429273]	[100429273]
789_10542	chr7	100157701	100158101	+	1000	62.0	[7.587105]	[116]	[11.325602]	[116]	[100157899]	[100157899]
789_1055	chrX	14029743	14030143	+	1000	295.0	[7.0666766]	[131]	[6.9910398]	[131]	[14029960]	[14029960]
789_10558	chr8	141228422	141228822	+	1000	62.0	[11.507445, 9.55974]	[119, 130]	[]	[]	[141228633, 141228644]	[]
789_10562	chr9	37395677	37396077	+	1000	62.0	[7.3216233]	[89]	[7.573706]	[89]	[37395863]	[37395863]
789_10567	chr9	127862451	127862851	+	1000	62.0	[7.611034]	[147]	[9.472043, 7.5305133]	[138, 147]	[127862672]	[127862663, 127862672]
789_1057	chr2	46500107	46500507	+	1000	294.0	[11.325602]	[82]	[7.587105]	[82]	[46500277]	[46500277]
789_10570	chrUn_KI270745v1	27032	27432	+	1000	62.0	[7.304901]	[125]	[14.340561]	[125]	[27250]	[27250]
789_10575	chr1	3907151	3907551	+	1000	61.0	[7.573706]	[114]	[7.3216233]	[114]	[3907346]	[3907346]
789_10590	chr1	117605669	117606069	+	1000	61.0	[7.5233374]	[141]	[7.2848296]	[141]	[117605908]	[117605908]
789_10600	chr1	228168566	228168966	+	1000	61.0	[12.391855]	[91]	[12.391855]	[91]	[228168753]	[228168753]
789_10603	chr10	17229727	17230127	+	1000	61.0	[]	[]	[8.939746]	[136]	[]	[17229962]
789_10618	chr11	61800588	61800988	+	1000	61.0	[6.726624]	[141]	[]	[]	[61800823]	[]
789_1062	chr16	31117444	31117844	+	1000	293.0	[7.6658115]	[125]	[7.302018]	[125]	[31117660]	[31117660]
789_10625	chr11	108593554	108593954	+	1000	61.0	[6.6461034]	[145]	[]	[]	[108593725]	[]
789_10628	chr12	4153458	4153858	+	1000	61.0	[]	[]	[11.507445]	[105]	[]	[4153632]
789_1064	chr4	107989574	107989974	+	1000	293.0	[7.6658115]	[132]	[7.302018]	[132]	[107989794]	[107989794]
789_10646	chr14	76151747	76152147	+	1000	61.0	[11.325602]	[88]	[7.587105]	[88]	[76151915]	[76151915]
789_10649	chr15	74610464	74610864	+	1000	61.0	[6.6389275]	[168]	[]	[]	[74610708]	[]
789_10674	chr18	21489917	21490317	+	1000	61.0	[7.6658115, 7.587105]	[88, 137]	[7.302018, 11.325602]	[88, 137]	[21490095, 21490144]	[21490095, 21490144]
789_10675	chr18	56651106	56651506	+	1000	61.0	[9.614517]	[156]	[]	[]	[56651352]	[]
789_1069	chr2	24971922	24972322	+	1000	292.0	[12.391855]	[111]	[12.391855]	[111]	[24972125]	[24972125]
789_10694	chr2	27771558	27771958	+	1000	61.0	[6.730626]	[128]	[]	[]	[27771768]	[]
