#PeakID(python identify_motif.py ./ENCODE_processed_files/GATA2_idr.fa GATA2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
946_0	chrM	14780	15180	+	1000	1347.0	[9.93833]	[194]	[]	[]	[15017]	[]
946_100	chr9	129863033	129863433	+	1000	546.0	[]	[]	[12.699877]	[102]	[]	[129863234]
946_1000	chr1	224160337	224160737	+	1000	244.0	[12.699877, 7.083552]	[108, 130]	[]	[]	[224160530, 224160552]	[]
946_10000	chr11	111698938	111699338	+	1000	77.0	[]	[]	[12.699877]	[82]	[]	[111699097]
946_10001	chr12	1713700	1714100	+	1000	77.0	[]	[]	[7.7934723]	[117]	[]	[1713894]
946_10002	chr12	23084660	23085060	+	1000	77.0	[]	[]	[10.555019]	[75]	[]	[23084829]
946_10004	chr12	51321001	51321401	+	1000	77.0	[10.555019]	[88]	[]	[]	[51321182]	[]
946_10005	chr12	53267843	53268243	+	1000	77.0	[]	[]	[9.93833]	[116]	[]	[53268032]
946_10006	chr12	63129944	63130344	+	1000	77.0	[9.387603]	[78]	[]	[]	[63130103]	[]
946_10008	chr12	94954211	94954611	+	1000	77.0	[]	[]	[12.699877]	[88]	[]	[94954395]
946_10009	chr12	111841720	111842120	+	1000	77.0	[]	[]	[9.93833]	[106]	[]	[111841920]
946_1001	chr17	601511	601911	+	1000	244.0	[7.169444]	[125]	[]	[]	[601718]	[]
946_10011	chr12	124883445	124883845	+	1000	77.0	[7.000952]	[94]	[]	[]	[124883627]	[]
946_10016	chr14	20477588	20477988	+	1000	77.0	[9.387603, 10.555019]	[84, 94]	[]	[]	[20477765, 20477775]	[]
946_10019	chr14	33917129	33917529	+	1000	77.0	[10.555019, 9.722767]	[97, 127]	[]	[]	[33917307, 33917337]	[]
946_1002	chr2	26961703	26962103	+	1000	244.0	[]	[]	[9.93833]	[153]	[]	[26961947]
946_10020	chr14	50396316	50396716	+	1000	77.0	[]	[]	[12.699877]	[141]	[]	[50396504]
946_10023	chr14	77800472	77800872	+	1000	77.0	[12.699877]	[91]	[8.174054]	[138]	[77800659]	[77800706]
946_10024	chr15	40894910	40895310	+	1000	77.0	[]	[]	[12.699877]	[101]	[]	[40895106]
946_10025	chr15	48851955	48852355	+	1000	77.0	[]	[]	[12.699877, 7.000952]	[76, 119]	[]	[48852119, 48852162]
946_10028	chr15	64571810	64572210	+	1000	77.0	[]	[]	[9.93833]	[164]	[]	[64572055]
946_10030	chr15	90540790	90541190	+	1000	77.0	[]	[]	[12.699877]	[119]	[]	[90541007]
946_10031	chr16	11130043	11130443	+	1000	77.0	[9.722767]	[115]	[]	[]	[11130254]	[]
946_10035	chr17	2089460	2089860	+	1000	77.0	[7.5779095]	[97]	[]	[]	[2089636]	[]
946_10037	chr17	33889040	33889440	+	1000	77.0	[]	[]	[7.6269035]	[134]	[]	[33889269]
946_10038	chr17	44146926	44147326	+	1000	77.0	[]	[]	[9.722767]	[167]	[]	[44147145]
946_10039	chr17	44907327	44907727	+	1000	77.0	[]	[]	[9.722767]	[137]	[]	[44907554]
946_10040	chr17	64363071	64363471	+	1000	77.0	[7.169444]	[108]	[]	[]	[64363273]	[]
946_10041	chr17	77959668	77960068	+	1000	77.0	[7.5779095]	[61]	[9.722767]	[67]	[77959820]	[77959826]
946_10045	chr19	2977786	2978186	+	1000	77.0	[]	[]	[10.555019]	[157]	[]	[2978034]
946_10047	chr19	10942597	10942997	+	1000	77.0	[10.555019]	[97]	[]	[]	[10942784]	[]
946_10048	chr19	14890716	14891116	+	1000	77.0	[]	[]	[7.6269035, 9.93833, 12.699877]	[77, 102, 135]	[]	[14890867, 14890892, 14890925]
946_10049	chr19	18223867	18224267	+	1000	77.0	[9.722767]	[120]	[]	[]	[18224049]	[]
946_10050	chr19	35247509	35247909	+	1000	77.0	[]	[]	[12.699877]	[164]	[]	[35247722]
946_10056	chr2	39620066	39620466	+	1000	77.0	[7.5779095]	[122]	[]	[]	[39620273]	[]
946_10058	chr2	113173621	113174021	+	1000	77.0	[12.699877]	[155]	[]	[]	[113173844]	[]
946_10059	chr2	170236636	170237036	+	1000	77.0	[]	[]	[9.387603]	[109]	[]	[170236815]
946_1006	chr3	13485044	13485444	+	1000	244.0	[]	[]	[7.6269035]	[87]	[]	[13485222]
946_10061	chr20	18624915	18625315	+	1000	77.0	[]	[]	[10.555019]	[125]	[]	[18625138]
946_10064	chr20	35344395	35344795	+	1000	77.0	[7.000952]	[157]	[]	[]	[35344584]	[]
946_10065	chr20	48771503	48771903	+	1000	77.0	[10.555019]	[65]	[]	[]	[48771668]	[]
946_10066	chr20	50059091	50059491	+	1000	77.0	[]	[]	[7.6269035, 12.699877]	[91, 105]	[]	[50059274, 50059288]
946_10067	chr20	51600153	51600553	+	1000	77.0	[10.555019]	[120]	[]	[]	[51600329]	[]
946_10069	chr20	62274534	62274934	+	1000	77.0	[9.722767]	[137]	[]	[]	[62274740]	[]
946_1007	chr4	138910810	138911210	+	1000	244.0	[]	[]	[9.722767]	[155]	[]	[138911047]
946_10071	chr21	29647302	29647702	+	1000	77.0	[]	[]	[8.567237]	[121]	[]	[29647519]
946_10072	chr21	39420197	39420597	+	1000	77.0	[]	[]	[12.699877]	[139]	[]	[39420425]
946_10075	chr22	19233174	19233574	+	1000	77.0	[12.699877]	[203]	[]	[]	[19233422]	[]
946_1008	chr5	135192441	135192841	+	1000	244.0	[12.699877]	[140]	[]	[]	[135192679]	[]
946_10080	chr22	19607648	19608048	+	1000	77.0	[9.93833]	[102]	[]	[]	[19607810]	[]
946_101	chr20	53175414	53175814	+	1000	542.0	[9.722767]	[82]	[12.699877]	[135]	[53175581]	[53175634]
946_1010	chr1	14436994	14437394	+	1000	243.0	[]	[]	[9.93833]	[80]	[]	[14437172]
946_10106	chr22	21836524	21836924	+	1000	77.0	[9.387603]	[133]	[]	[]	[21836721]	[]
946_10109	chr22	22020053	22020453	+	1000	77.0	[7.083552]	[117]	[]	[]	[22020224]	[]
946_1011	chr1	154320866	154321266	+	1000	243.0	[12.699877]	[100]	[]	[]	[154321064]	[]
946_10117	chr22	22794489	22794889	+	1000	77.0	[7.242745]	[147]	[]	[]	[22794650]	[]
946_1012	chr12	106358404	106358804	+	1000	243.0	[9.722767]	[83]	[10.555019]	[89]	[106358572]	[106358578]
946_10123	chr22	23027614	23028014	+	1000	77.0	[7.7934723]	[101]	[7.083552]	[165]	[23027789]	[23027853]
946_10128	chr3	5018137	5018537	+	1000	77.0	[7.6269035]	[107]	[]	[]	[5018307]	[]
946_1013	chr19	944090	944490	+	1000	243.0	[9.722767]	[85]	[]	[]	[944268]	[]
946_10130	chr3	32596595	32596995	+	1000	77.0	[9.387603]	[117]	[7.7934723]	[148]	[32596777]	[32596808]
946_10131	chr3	72052763	72053163	+	1000	77.0	[12.699877]	[98]	[]	[]	[72052958]	[]
946_10133	chr3	150600667	150601067	+	1000	77.0	[]	[]	[10.555019]	[141]	[]	[150600883]
946_10135	chr3	182726540	182726940	+	1000	77.0	[8.065871]	[153]	[]	[]	[182726742]	[]
946_10136	chr3	183306873	183307273	+	1000	77.0	[]	[]	[9.93833]	[90]	[]	[183307054]
946_10139	chr4	75848159	75848559	+	1000	77.0	[]	[]	[10.555019]	[132]	[]	[75848379]
946_1014	chr19	17405237	17405637	+	1000	243.0	[]	[]	[9.387603]	[115]	[]	[17405446]
