#PeakID(python identify_motif.py ./ENCODE_processed_files/FOXJ2_idr.fa FOXJ2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
303_100	chr11	124673711	124674111	+	1000	321.0	[8.10693]	[106]	[]	[]	[124673910]	[]
303_10001	chr3	42683932	42684332	+	1000	47.0	[12.067478]	[129]	[]	[]	[42684155]	[]
303_10003	chr3	46558209	46558609	+	1000	47.0	[]	[]	[8.325381]	[166]	[]	[46558432]
303_10006	chr3	107482537	107482937	+	1000	47.0	[]	[]	[12.067478, 7.3291993]	[114, 126]	[]	[107482740, 107482752]
303_10007	chr3	112134734	112135134	+	1000	47.0	[8.325381]	[118]	[10.381243]	[159]	[112134936]	[112134977]
303_1001	chr1	191582110	191582510	+	1000	124.0	[7.5476513]	[156]	[12.067478]	[88]	[191582351]	[191582283]
303_10010	chr3	141360848	141361248	+	1000	47.0	[8.10693]	[113]	[8.325381]	[137]	[141361060]	[141361084]
303_10012	chr4	2262111	2262511	+	1000	47.0	[]	[]	[10.381243]	[76]	[]	[2262266]
303_10015	chr4	18057368	18057768	+	1000	47.0	[8.10693]	[104]	[]	[]	[18057553]	[]
303_10018	chr4	87445939	87446339	+	1000	47.0	[]	[]	[8.325381]	[156]	[]	[87446158]
303_10024	chr4	169604509	169604909	+	1000	47.0	[7.3291993]	[85]	[]	[]	[169604693]	[]
303_10026	chr4	185167242	185167642	+	1000	47.0	[7.3291993, 7.3291993, 7.3291993]	[170, 174, 178]	[]	[]	[185167467, 185167471, 185167475]	[]
303_10027	chr5	10303616	10304016	+	1000	47.0	[6.5088143]	[113]	[]	[]	[10303789]	[]
303_10033	chr5	80181525	80181925	+	1000	47.0	[12.067478]	[155]	[]	[]	[80181735]	[]
303_10036	chr5	98963628	98964028	+	1000	47.0	[]	[]	[12.285931]	[142]	[]	[98963848]
303_1004	chr11	57150432	57150832	+	1000	124.0	[12.067478]	[88]	[]	[]	[57150609]	[]
303_10052	chr6	25958621	25959021	+	1000	47.0	[6.5088143]	[142]	[]	[]	[25958856]	[]
303_10055	chr6	27294353	27294753	+	1000	47.0	[]	[]	[7.3291993, 8.325381]	[147, 153]	[]	[27294548, 27294554]
303_10058	chr6	28939496	28939896	+	1000	47.0	[8.10693]	[93]	[]	[]	[28939687]	[]
303_10060	chr6	36759067	36759467	+	1000	47.0	[]	[]	[12.285931]	[121]	[]	[36759267]
303_10063	chr6	41767180	41767580	+	1000	47.0	[7.961771]	[169]	[]	[]	[41767409]	[]
303_10065	chr6	44169111	44169511	+	1000	47.0	[12.067478]	[112]	[]	[]	[44169316]	[]
303_10068	chr6	100948741	100949141	+	1000	47.0	[]	[]	[10.162791]	[71]	[]	[100948911]
303_10072	chr6	125812329	125812729	+	1000	47.0	[]	[]	[8.10693]	[203]	[]	[125812566]
303_10074	chr6	136610267	136610667	+	1000	47.0	[12.285931]	[167]	[7.961771]	[130]	[136610504]	[136610467]
303_10078	chr6	166959242	166959642	+	1000	47.0	[]	[]	[12.067478]	[101]	[]	[166959440]
303_10085	chr7	39501419	39501819	+	1000	47.0	[]	[]	[12.067478]	[92]	[]	[39501594]
303_10089	chr7	95693944	95694344	+	1000	47.0	[7.3387127]	[81]	[7.3387127]	[80]	[95694106]	[95694105]
303_10093	chr7	106482069	106482469	+	1000	47.0	[]	[]	[8.10693, 7.3291993]	[112, 127]	[]	[106482261, 106482276]
303_10095	chr7	106703130	106703530	+	1000	47.0	[]	[]	[12.285931]	[198]	[]	[106703358]
303_10099	chr7	116951568	116951968	+	1000	47.0	[]	[]	[8.10693, 7.5476513]	[166, 187]	[]	[116951790, 116951811]
303_101	chr3	176661491	176661891	+	1000	321.0	[]	[]	[7.961771, 6.5088143]	[80, 129]	[]	[176661650, 176661699]
303_10103	chr7	138029970	138030370	+	1000	47.0	[7.961771]	[187]	[]	[]	[138030214]	[]
303_10105	chr7	151349750	151350150	+	1000	47.0	[]	[]	[7.961771]	[112]	[]	[151349947]
303_10108	chr8	8680231	8680631	+	1000	47.0	[12.285931]	[74]	[]	[]	[8680402]	[]
303_10110	chr8	26572172	26572572	+	1000	47.0	[7.5476513]	[148]	[]	[]	[26572384]	[]
303_10113	chr8	38793121	38793521	+	1000	47.0	[]	[]	[7.3291993, 10.381243, 8.10693]	[60, 64, 135]	[]	[38793281, 38793285, 38793356]
303_1012	chr18	35236891	35237291	+	1000	124.0	[7.5476513]	[76]	[12.285931]	[121]	[35237059]	[35237104]
303_10122	chr8	102112998	102113398	+	1000	47.0	[8.10693]	[152]	[]	[]	[102113249]	[]
303_10126	chr8	128283063	128283463	+	1000	47.0	[7.1202607]	[146]	[]	[]	[128283250]	[]
303_1013	chr18	46264285	46264685	+	1000	124.0	[]	[]	[7.3291993, 8.10693, 8.10693]	[62, 71, 77]	[]	[46264445, 46264454, 46264460]
303_10143	chr9	131095955	131096355	+	1000	47.0	[]	[]	[6.4206944]	[104]	[]	[131096113]
303_10146	chr9	131150015	131150415	+	1000	47.0	[7.961771]	[121]	[]	[]	[131150188]	[]
303_10152	chrX	47047995	47048395	+	1000	47.0	[12.285931]	[165]	[]	[]	[47048233]	[]
303_10153	chrX	80512394	80512794	+	1000	47.0	[]	[]	[8.10693]	[56]	[]	[80512547]
303_1016	chr3	186109030	186109430	+	1000	124.0	[]	[]	[12.285931]	[103]	[]	[186109231]
303_10163	chr1	8918095	8918495	+	1000	46.0	[]	[]	[8.1802225]	[157]	[]	[8918313]
303_10172	chr1	32448780	32449180	+	1000	46.0	[7.3387127, 7.961771]	[212, 219]	[7.3387127]	[211]	[32449013, 32449020]	[32449012]
303_10174	chr1	35674116	35674516	+	1000	46.0	[]	[]	[12.067478]	[106]	[]	[35674321]
303_10185	chr1	89128724	89129124	+	1000	46.0	[12.067478]	[121]	[]	[]	[89128928]	[]
303_1019	chr8	144919939	144920339	+	1000	124.0	[]	[]	[8.10693]	[118]	[]	[144920155]
303_10196	chr1	154179102	154179502	+	1000	46.0	[12.285931]	[90]	[]	[]	[154179280]	[]
303_10200	chr1	174204168	174204568	+	1000	46.0	[12.285931]	[104]	[]	[]	[174204354]	[]
303_10218	chr10	30190892	30191292	+	1000	46.0	[7.3387127]	[190]	[7.3387127]	[189]	[30191139]	[30191138]
303_1022	chr11	47514841	47515241	+	1000	123.0	[10.381243, 6.4206944]	[113, 123]	[]	[]	[47515049, 47515059]	[]
303_10228	chr10	79183105	79183505	+	1000	46.0	[]	[]	[8.325381]	[125]	[]	[79183285]
303_1023	chr11	62105163	62105563	+	1000	123.0	[7.3291993]	[149]	[6.5088143]	[128]	[62105396]	[62105375]
303_10230	chr10	89374142	89374542	+	1000	46.0	[]	[]	[8.10693]	[71]	[]	[89374307]
303_10235	chr10	103197169	103197569	+	1000	46.0	[]	[]	[8.325381]	[107]	[]	[103197352]
303_10249	chr11	63582541	63582941	+	1000	46.0	[6.5088143, 6.5088143]	[82, 109]	[]	[]	[63582708, 63582735]	[]
303_10254	chr11	75337203	75337603	+	1000	46.0	[8.10693]	[130]	[8.325381]	[161]	[75337371]	[75337402]
303_1026	chr14	102551056	102551456	+	1000	123.0	[12.285931]	[80]	[]	[]	[102551211]	[]
303_10260	chr11	119480412	119480812	+	1000	46.0	[10.162791]	[82]	[]	[]	[119480590]	[]
303_10264	chr12	29220831	29221231	+	1000	46.0	[]	[]	[12.285931]	[119]	[]	[29221025]
303_10268	chr12	50924434	50924834	+	1000	46.0	[]	[]	[8.325381]	[123]	[]	[50924654]
303_10272	chr12	95428511	95428911	+	1000	46.0	[]	[]	[8.10693]	[109]	[]	[95428697]
303_10283	chr13	93206441	93206841	+	1000	46.0	[8.10693]	[156]	[]	[]	[93206674]	[]
303_10287	chr13	114285407	114285807	+	1000	46.0	[]	[]	[8.10693]	[164]	[]	[114285653]
303_10290	chr14	29650593	29650993	+	1000	46.0	[8.10693, 8.10693]	[105, 167]	[]	[]	[29650768, 29650830]	[]
303_10299	chr15	41557574	41557974	+	1000	46.0	[12.067478]	[165]	[]	[]	[41557825]	[]
303_103	chr19	13850348	13850748	+	1000	320.0	[]	[]	[7.3291993]	[92]	[]	[13850538]
303_10301	chr15	51603492	51603892	+	1000	46.0	[8.10693]	[135]	[]	[]	[51603704]	[]
303_10307	chr15	75178420	75178820	+	1000	46.0	[12.285931]	[92]	[]	[]	[75178612]	[]
303_10308	chr15	82046184	82046584	+	1000	46.0	[]	[]	[6.4206944]	[189]	[]	[82046394]
303_10309	chr15	82209112	82209512	+	1000	46.0	[10.162791]	[171]	[]	[]	[82209358]	[]
303_10313	chr16	3445491	3445891	+	1000	46.0	[12.067478]	[145]	[]	[]	[3445713]	[]
303_10316	chr16	12612550	12612950	+	1000	46.0	[12.285931]	[93]	[]	[]	[12612722]	[]
303_10326	chr16	81939566	81939966	+	1000	46.0	[]	[]	[7.961771, 8.1802225]	[123, 127]	[]	[81939781, 81939785]
303_10327	chr16	87382036	87382436	+	1000	46.0	[]	[]	[12.285931]	[106]	[]	[87382226]
303_1033	chr5	80204904	80205304	+	1000	123.0	[7.5476513]	[165]	[12.285931]	[89]	[80205154]	[80205078]
303_10335	chr17	39281041	39281441	+	1000	46.0	[8.10693]	[160]	[12.285931]	[131]	[39281286]	[39281257]
303_10342	chr17	50661776	50662176	+	1000	46.0	[8.325381]	[165]	[]	[]	[50662015]	[]
303_10344	chr17	59106661	59107061	+	1000	46.0	[7.5476513]	[66]	[]	[]	[59106827]	[]
303_10353	chr18	3037382	3037782	+	1000	46.0	[]	[]	[12.285931]	[151]	[]	[3037598]
303_10356	chr18	36075910	36076310	+	1000	46.0	[12.285931, 12.067478]	[80, 154]	[]	[]	[36076078, 36076152]	[]
303_10357	chr18	46868089	46868489	+	1000	46.0	[12.285931]	[116]	[]	[]	[46868296]	[]
303_1036	chr6	31664829	31665229	+	1000	123.0	[6.4206944]	[148]	[]	[]	[31665062]	[]
303_10360	chr18	62450353	62450753	+	1000	46.0	[]	[]	[8.10693]	[66]	[]	[62450504]
303_10370	chr19	39842306	39842706	+	1000	46.0	[]	[]	[12.285931]	[147]	[]	[39842548]
303_10378	chr19	51132265	51132665	+	1000	46.0	[8.325381]	[96]	[8.10693]	[166]	[51132440]	[51132510]
303_10389	chr2	42460957	42461357	+	1000	46.0	[8.10693]	[114]	[]	[]	[42461162]	[]
