#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT1_idr.fa STAT1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
315_1001	chr8	97802124	97802524	+	1000	35.0	[9.611048]	[117]	[]	[]	[97802318]	[]
315_1003	chr9	130770866	130771266	+	1000	35.0	[]	[]	[8.280003]	[185]	[]	[130771066]
315_1007	chr1	40383547	40383947	+	1000	34.0	[8.194635]	[174]	[]	[]	[40383764]	[]
315_1019	chr1	186112297	186112697	+	1000	34.0	[9.611048]	[141]	[9.525681]	[159]	[186112486]	[186112504]
315_1023	chr10	86775188	86775588	+	1000	34.0	[]	[]	[9.611048]	[125]	[]	[86775399]
315_1029	chr12	120291308	120291708	+	1000	34.0	[8.280003]	[91]	[]	[]	[120291485]	[]
315_103	chr7	139044121	139044521	+	1000	102.0	[8.280003, 8.280003]	[97, 144]	[9.611048]	[79]	[139044310, 139044357]	[139044292]
315_1034	chr16	15590938	15591338	+	1000	34.0	[8.280003]	[139]	[]	[]	[15591155]	[]
315_1036	chr16	85047197	85047597	+	1000	34.0	[]	[]	[9.611048]	[92]	[]	[85047382]
315_1042	chr19	6603950	6604350	+	1000	34.0	[8.194635, 8.280003]	[83, 108]	[8.280003]	[97]	[6604109, 6604134]	[6604123]
315_1045	chr19	50376118	50376518	+	1000	34.0	[9.611048]	[115]	[]	[]	[50376304]	[]
315_1046	chr19	55216369	55216769	+	758	34.0	[]	[]	[8.280003]	[157]	[]	[55216600]
315_1049	chr2	58730759	58731159	+	1000	34.0	[]	[]	[9.611048]	[165]	[]	[58731002]
315_1050	chr2	73063778	73064178	+	1000	34.0	[]	[]	[9.611048, 8.259005, 9.525681]	[83, 127, 137]	[]	[73063960, 73064004, 73064014]
315_1056	chr20	53899510	53899910	+	1000	34.0	[9.611048]	[111]	[]	[]	[53899718]	[]
315_1067	chr22	23142014	23142414	+	1000	34.0	[9.525681, 8.280003]	[77, 82]	[]	[]	[23142188, 23142193]	[]
315_1068	chr3	46509187	46509587	+	1000	34.0	[]	[]	[8.259005]	[170]	[]	[46509434]
315_1071	chr3	187022317	187022717	+	1000	34.0	[8.280003, 8.259005]	[101, 105]	[]	[]	[187022477, 187022481]	[]
315_1072	chr4	83630090	83630490	+	1000	34.0	[8.194635]	[106]	[8.280003]	[76]	[83630289]	[83630259]
315_1075	chr5	86617649	86618049	+	1000	34.0	[]	[]	[9.525681]	[85]	[]	[86617820]
315_1078	chr6	26027226	26027626	+	1000	34.0	[]	[]	[9.525681]	[222]	[]	[26027463]
315_108	chr6	167840827	167841227	+	1000	98.0	[8.194635]	[131]	[8.280003]	[84]	[167841048]	[167841001]
315_1081	chr6	31547309	31547709	+	1000	34.0	[]	[]	[9.525681]	[76]	[]	[31547474]
315_1083	chr6	37083495	37083895	+	1000	34.0	[]	[]	[8.280003, 9.611048]	[104, 114]	[]	[37083690, 37083700]
315_1085	chr6	42028519	42028919	+	1000	34.0	[]	[]	[9.611048]	[156]	[]	[42028739]
315_1088	chr7	8762794	8763194	+	1000	34.0	[]	[]	[9.611048]	[127]	[]	[8762996]
315_109	chr10	70667409	70667809	+	1000	97.0	[8.280003]	[82]	[8.259005]	[142]	[70667583]	[70667643]
315_1097	chr9	129879057	129879457	+	990	34.0	[8.194635]	[130]	[]	[]	[129879283]	[]
315_1098	chr9	129910511	129910911	+	1000	34.0	[8.194635]	[136]	[]	[]	[129910741]	[]
315_1103	chr1	35279250	35279650	+	1000	33.0	[]	[]	[8.259005]	[81]	[]	[35279410]
315_1105	chr1	39167864	39168264	+	1000	33.0	[]	[]	[9.611048]	[112]	[]	[39168020]
315_1107	chr1	44213179	44213579	+	1000	33.0	[]	[]	[9.611048]	[125]	[]	[44213403]
315_1115	chr1	173714702	173715102	+	1000	33.0	[]	[]	[8.280003]	[124]	[]	[173714925]
315_1117	chr1	179016955	179017355	+	1000	33.0	[8.280003]	[116]	[8.194635]	[107]	[179017146]	[179017137]
315_1118	chr1	185284692	185285092	+	1000	33.0	[]	[]	[8.259005]	[97]	[]	[185284872]
315_1119	chr1	201578278	201578678	+	1000	33.0	[8.194635, 8.280003]	[144, 151]	[]	[]	[201578500, 201578507]	[]
315_1120	chr1	204506973	204507373	+	1000	33.0	[9.611048]	[161]	[]	[]	[204507223]	[]
315_1123	chr10	30437017	30437417	+	1000	33.0	[8.280003]	[193]	[]	[]	[30437241]	[]
315_1127	chr11	59545304	59545704	+	1000	33.0	[]	[]	[8.280003]	[109]	[]	[59545496]
315_1128	chr11	65928090	65928490	+	1000	33.0	[]	[]	[9.611048]	[54]	[]	[65928242]
315_1130	chr12	110826646	110827046	+	1000	33.0	[]	[]	[9.611048]	[137]	[]	[110826882]
315_1131	chr13	91539907	91540307	+	1000	33.0	[9.611048]	[172]	[]	[]	[91540149]	[]
315_1134	chr15	41116436	41116836	+	1000	33.0	[]	[]	[9.525681]	[92]	[]	[41116626]
315_1137	chr16	66899903	66900303	+	1000	33.0	[]	[]	[8.194635]	[166]	[]	[66900101]
315_1138	chr16	85355277	85355677	+	1000	33.0	[]	[]	[8.280003]	[109]	[]	[85355474]
315_1139	chr17	67784341	67784741	+	1000	33.0	[]	[]	[9.525681, 8.280003]	[134, 144]	[]	[67784561, 67784571]
315_114	chr8	143026365	143026765	+	1000	96.0	[]	[]	[9.611048]	[91]	[]	[143026551]
